"","Model","Price","Manufacturer","Year","Count"
"411","Altima 2.5 S/ New Tires/ Fresh Trade/ Excellent Condition",6995,"Nissan",2013,1
"412","Altima 2.5 Sedan 4d",12845.375,"Nissan",2016,24
"413","Altima 2.5 Sl",7771.41441441441,"Nissan",2008,111
"414","Altima 2.5 Sl -Navi-Camer",20995,"Nissan",2020,1
"415","Altima 2.5 Sl Sedan",10875,"Nissan",2013,2
"416","Altima 2.5 Sl Sedan 4d",14001,"Nissan",2015,10
"417","Altima 2.5 Sr",17382.4210526316,"Nissan",2018,19
"418","Altima 2.5 Sr Automatic",23999,"Nissan",2020,1
"419","Altima 2.5 Sr Sedan",10112.25,"Nissan",2019,4
"420","Altima 2.5 Sr Sedan 4d",16878.8888888889,"Nissan",2019,9
"421","Altima 2.5 Sr*Back Up Ca",14337,"Nissan",2017,1
"422","Altima 2.5 Sv",12520.5957446809,"Nissan",2017,47
"423","Altima 2.5 Sv 4dr Sedan",12250,"Nissan",2018,1
"424","Altima 2.5 Sv All Wheel",26980,"Nissan",2019,4
"425","Altima 2.5 Sv Automatic",17982,"Nissan",2018,1
"426","Altima 2.5 Sv Sedan",10460.625,"Nissan",2015,8
"427","Altima 2.5 Sv Sedan 4d",13130.3636363636,"Nissan",2017,33
"428","Altima 2.5 Z",4800,"Nissan",2012,1
"429","Altima 2.5/2.5 S",8998,"Nissan",2012,1
"430","Altima 2.5s",7650.32142857143,"Nissan",2008,28
"431","Altima 2.5s Coupe",6120,"Nissan",2013,5
"432","Altima 2.5s Cpe",7895,"Nissan",2012,1
"433","Altima 2.5sl",5975,"Nissan",2011,2
"434","Altima 2.5sv",11000,"Nissan",2013,1
"435","Altima 2008",3200,"Nissan",2008,1
"436","Altima 2016",12999,"Nissan",2016,1
"437","Altima 2017.5 2.5 Sr Sedan",16087,"Nissan",2017,1
"438","Altima 3.5",9300,"Nissan",2005,2
"439","Altima 3.5 S",8995,"Nissan",2013,4
"440","Altima 3.5 S Sedan 4d",13790,"Nissan",2013,2
"441","Altima 3.5 Se",4542.44444444444,"Nissan",2005,9
"442","Altima 3.5 Se-R",3995,"Nissan",2006,6
"443","Altima 3.5 Se Coupe",8699,"Nissan",2008,1
"444","Altima 3.5 Se/3.5 Sl",6200,"Nissan",2009,1
"445","Altima 3.5 Sl",8194.54545454545,"Nissan",2013,11
"446","Altima 3.5 Sl (2017.5)",19590,"Nissan",2017,1
"447","Altima 3.5 Sl 2017.5)",19990,"Nissan",2017,1
"448","Altima 3.5 Sl Sedan",14393.5,"Nissan",2016,4
"449","Altima 3.5 Sl Sedan 4d",10113.2,"Nissan",2017,5
"450","Altima 3.5 Sr",10720,"Nissan",2016,7
"451","Altima 3.5 Sr Coupe",11988,"Nissan",2011,1
"452","Altima 3.5 Sr Coupe 2d",11590,"Nissan",2012,2
"453","Altima 3.5 Sr Sedan 4d",15990,"Nissan",2016,1
"454","Altima 3.5 Sv",8995,"Nissan",2013,1
"455","Altima 3.5 Sv Cvt",8499,"Nissan",2013,2
"456","Altima 3.5s",6000,"Nissan",2014,1
"457","Altima 3.5se",3574.875,"Nissan",2005,8
"458","Altima 4dr",4900,"Nissan",2011,1
"459","Altima 4dr Sdn I4 2.5",8742,"Nissan",2015,1
"460","Altima 4dr Sdn I4 2.5 S",2707.8,"Nissan",2013,5
"461","Altima 4dr Sdn I4 2.5 Sl",6440,"Nissan",2014,4
"462","Altima 4dr Sdn I4 2.5 Sv",10768.5,"Nissan",2015,2
"463","Altima 4dr Sdn I4 Cvt 2.5 S",7490,"Nissan",2012,1
"464","Altima 4dr Sdn I4 Ecvt 2.5 Hybrid",6994,"Nissan",2007,1
"465","Altima Coupe",6241,"Nissan",2010,8
"466","Altima Coupe 2.5 S",10000,"Nissan",2012,1
"467","Altima Coupe 2.5s",12749.5,"Nissan",2012,2
"468","Altima Es",4400,"Nissan",2007,1
"469","Altima Exl",950,"Nissan",1998,1
"470","Altima Great On Gas 2.5",6999,"Nissan",2015,1
"471","Altima Gxe",2343.75,"Nissan",2001,4
"472","Altima Hybrid",5213.5,"Nissan",2009,12
"473","Altima S",7225.91954022988,"Nissan",2005,87
