"","Model","Price","Manufacturer","Year","Count"
"3597","Rx 350 F Sport Suv 4d",21990,"Lexus",2013,1
"3598","Rx 350 Fwd 4dr",18490,"Lexus",2013,2
"3599","Rx 350 Fwd Ultra Premium",7995,"Lexus",2008,2
"3600","Rx 350 Nav",9950,"Lexus",2009,1
"3601","Rx 350 Sport",9238,"Lexus",2010,2
"3602","Rx 350 Sport Utility",8900,"Lexus",2008,2
"3603","Rx 350 Sport Utility 4d",22732.2222222222,"Lexus",2017,45
"3604","Rx 350 Ultra Premium",9400,"Lexus",2007,1
"3605","Rx 350l",37943.9230769231,"Lexus",2018,13
"3606","Rx 350l Sport Utility 4d",44990,"Lexus",2019,1
"3607","Rx 370 Awd",24500,"Lexus",2015,1
"3608","Rx 400 H",5500,"Lexus",2008,1
"3609","Rx 400 H Awd",9488,"Lexus",2007,6
"3610","Rx 400h",9643.51724137931,"Lexus",2008,29
"3611","Rx 400h 400h",6999,"Lexus",2006,1
"3612","Rx 400h Awd",6247.5,"Lexus",2008,2
"3613","Rx 400h Awd Hybrid",7000,"Lexus",2006,1
"3614","Rx 450h",17807.4210526316,"Lexus",2012,19
"3615","Rx 450h Awd 4dr",19466.6666666667,"Lexus",2010,3
"3616","Rx 450h Awd Hybrid",19391,"Lexus",2013,1
"3617","Rx 450h Cold Weather Pack",594,"Lexus",2017,1
"3618","Rx 450h Sport Utility",17850,"Lexus",2014,2
"3619","Rx 450h Sport Utility 4d",20723.3333333333,"Lexus",2013,3
"3620","Rx 7",1100,"Mazda",1988,1
"3621","Rx 7 Touring",23865,"Mazda",1993,1
"3622","Rx 8",8816.66666666667,"Mazda",2004,3
"3623","Rx Rx 450h",610,"Lexus",2017,1
"3624","Rx& Gs",7999,"Mazda",1985,1
"3625","Rx2",500,"Mazda",1973,1
"3626","Rx3",899,"Lexus",2003,2
"3627","Rx300",3951.36363636364,"Lexus",2000,33
"3628","Rx300 Awd",8275,"Lexus",2000,1
"3629","Rx300 Suv",4850,"Lexus",2001,1
"3630","Rx330",7665.75,"Lexus",2005,12
"3631","Rx330 Awd",8413,"Lexus",2004,7
"3632","Rx330 Sport Utility Awd",5500,"Lexus",2005,1
"3633","Rx350",15555.2553191489,"Lexus",2008,47
"3634","Rx350 2wd",8995,"Lexus",2009,1
"3635","Rx350 Awd",13645.8571428571,"Lexus",2010,21
"3636","Rx350 Awd Luxury Crossover",26950,"Lexus",2015,5
"3637","Rx350 F-Sport Awd",37000,"Lexus",2017,1
"3638","Rx350 F Sport Awd",27100,"Lexus",2017,2
"3639","Rx350 Rx 350",10997,"Lexus",2011,2
"3640","Rx400h",7655.375,"Lexus",2006,8
"3641","Rx400h Awd",6999,"Lexus",2008,1
"3642","Rx400h Awd Hybrid",7347.5,"Lexus",2008,2
"3643","Rx450h",26340,"Lexus",2010,5
"3644","Rx450hj",14990,"Lexus",2011,1
"3645","Rx7",8864.25,"Mazda",1985,4
"3646","Rx7 Gxl",7500,"Mazda",1986,1
"3647","Rx8",5421.83333333333,"Mazda",2005,24
"3648","Rx8 Shinka",15000,"Mazda",2006,1
"3649","S",6500,"Toyota",2014,1
"3650","S Altima",6900,"Nissan",2014,1
"3651","S2000",20002.3684210526,"Honda",2008,19
"3652","S2000 2004",22500,"Honda",2004,1
"3653","S2000 Ap2",18000,"Honda",2005,1
"3654","S2000 Convertible 6 Speed",23250,"Honda",2000,2
"3655","S2000 Rwd Gas Convertible",16665,"Honda",2004,3
"3656","Salora Se Coup",3799,"Toyota",2004,2
"3657","Santa Fe",1350,"Hyundai",2018,1
"3658","Sc 400",6437.55555555556,"Lexus",1996,9
"3659","Sc 430",11844.9285714286,"Lexus",2002,14
"3660","Sc 430 Convertible",8000,"Lexus",2003,1
"3661","Sc300",6366.66666666667,"Lexus",1992,6
"3662","Sc400",7399.16666666667,"Lexus",1995,6
"3663","Sc400 Coupe",8500,"Lexus",1997,1
"3664","Sc430",10450,"Lexus",2003,4
"3665","Sc430 Convertible",14041.5384615385,"Lexus",2003,13
"3666","Sc43p",15800,"Lexus",2006,1
"3667","Scion",4466.66666666667,"Toyota",2013,3
"3668","Scion Fr-S",14354.1428571429,"Toyota",2013,7
"3669","Scion Ia",10474.3333333333,"Toyota",2016,6
"3670","Scion Im",10995,"Toyota",2016,1
"3671","Scion Iq",6725,"Toyota",2012,2
"3672","Scion Tc",7495.34615384615,"Toyota",2006,26
"3673","Scion Tc Spec",6695,"Toyota",2008,1
"3674","Scion Xa",4263.66666666667,"Toyota",2006,9
"3675","Scion Xb",5779.875,"Toyota",2005,64
"3676","Scion Xd",5952,"Toyota",2009,11
"3677","Seinna",8647.5,"Toyota",2009,2
"3678","Sennia 2006",2500,"Toyota",2006,1
"3679","Sensing",15999,"Honda",2016,2
"3680","Sentra",8847.94198623402,"Nissan",2010,1017
"3681","Sentra 1.8 S",3499.5,"Nissan",2005,2
"3682","Sentra 1.8s",2495,"Nissan",2006,1
"3683","Sentra 2.0",5003.125,"Nissan",2008,16
"3684","Sentra 2.0 S",6235.5,"Nissan",2012,10
"3685","Sentra 2.0 Sr",4995,"Nissan",2011,1
"3686","Sentra 2.0. Local Trade",4900,"Nissan",2008,1
"3687","Sentra 2004",2500,"Nissan",2004,1
"3688","Sentra 2007",3300,"Nissan",2007,1
"3689","Sentra 4dr Sdn I4 Cvt 2.",103,"Nissan",2012,2
"3690","Sentra 4dr Sdn I4 Cvt 2.0 S",2875,"Nissan",2007,1
"3691","Sentra 4dr Sdn I4 Cvt Sr",10989.5,"Nissan",2013,2
"3692","Sentra Fe + S",8995,"Nissan",2015,1
"3693","Sentra Gxe",1550,"Nissan",1996,6
"3694","Sentra Gxi",1000,"Nissan",1998,1
"3695","Sentra New Sticker",4000,"Nissan",2013,2
"3696","Sentra Nismo",17488,"Nissan",2017,1
"3697","Sentra S",10153.6194690265,"Nissan",2019,113
"3698","Sentra S 4dr Sedan Cvt",11161.6666666667,"Nissan",2018,3
"3699","Sentra S Automatic",14999,"Nissan",2019,1
"3700","Sentra S Cvt",404.115384615385,"Nissan",2018,26
"3701","Sentra S Manual",14991,"Nissan",2019,1
"3702","Sentra S Sedan",10366,"Nissan",2019,2
"3703","Sentra S Sedan 4d",14406,"Nissan",2018,25
"3704","Sentra Sbl",4295,"Nissan",2012,1
"3705","Sentra Se",5997.5,"Nissan",2012,2
"3706","Sentra Se-R",4218,"Nissan",2006,5
"3707","Sentra Se-R Spec V",2999.66666666667,"Nissan",2006,3
"3708","Sentra Sedan",12995,"Nissan",2018,3
"3709","Sentra Ser Spec V",3300,"Nissan",2006,2
"3710","Sentra Sl",9053.95833333333,"Nissan",2014,24
"3711","Sentra Sl Sedan 4d",14740,"Nissan",2014,4
"3712","Sentra Special Edition",6096.66666666667,"Nissan",2012,3
"3713","Sentra Sr",8618.55172413793,"Nissan",2018,58
"3714","Sentra Sr 2.0",5499,"Nissan",2011,1
"3715","Sentra Sr 4dr Sedan",15347.5,"Nissan",2019,6
"3716","Sentra Sr Cvt",4146,"Nissan",2017,4
"3717","Sentra Sr Fwd Gas Sedan",16999,"Nissan",2019,9
"3718","Sentra Sr Sedan 4d",15213.3333333333,"Nissan",2017,9
"3719","Sentra Sr Turbo",11997,"Nissan",2017,2
"3720","Sentra Sr Turbo Cvt",232,"Nissan",2017,2
"3721","Sentra Sr Turbo Sedan 4d",15590,"Nissan",2017,1
"3722","Sentra Sv",9820.31451612903,"Nissan",2016,124
"3723","Sentra Sv 4d",10000,"Nissan",2015,1
"3724","Sentra Sv 4d Sedan",8500,"Nissan",2015,1
"3725","Sentra Sv 4dr Sedan",8974.5,"Nissan",2013,2
"3726","Sentra Sv Automatic",11999,"Nissan",2017,1
"3727","Sentra Sv Cvt",5986.66666666667,"Nissan",2018,12
"3728","Sentra Sv Cvt *Ltd Avail",232,"Nissan",2019,2
"3729","Sentra Sv Fuel Force",6500,"Nissan",2014,1
"3730","Sentra Sv Sedan",14795,"Nissan",2019,6
"3731","Sentra Sv Sedan 4d",12580.1081081081,"Nissan",2018,37
"3732","Sentra Sv W/Bluetooth",16000,"Nissan",2019,1
"3733","Sentre Se-R Spec V",3950,"Nissan",2006,1
"3734","Seqouia",18995,"Toyota",2010,1
"3735","Sequioa",18100,"Toyota",2002,2
"3736","Sequoia",16419.3904761905,"Toyota",2008,210
"3737","Sequoia 4dr Sr5 4wd (Natl)",6295,"Toyota",2004,1
"3738","Sequoia 4x4",4500,"Toyota",2002,1
"3739","Sequoia Limited",10575.6428571429,"Toyota",2006,28
"3740","Sequoia Limited 3rd Row",12999,"Toyota",2005,1
"3741","Sequoia Limited 4wd",7163.57142857143,"Toyota",2002,7
"3742","Sequoia Limited 4wd 6-Speed Automatic",23500,"Toyota",2008,1
"3743","Sequoia Limited 4x4",5784.75,"Toyota",2003,4
"3744","Sequoia Limited Awd",14500,"Toyota",2008,1
"3745","Sequoia Limited Rwd (Natl)",55999,"Toyota",2020,1
"3746","Sequoia Platinum",29338.8,"Toyota",2013,5
"3747","Sequoia Platinum 4wd (Natl)",51999,"Toyota",2019,2
"3748","Sequoia Platinum 4wd Sequ",24900,"Toyota",2011,1
"3749","Sequoia Platinum 4x4",21999,"Toyota",2013,1
"3750","Sequoia Platinum 4x4 Awd",18900,"Toyota",2008,3
"3751","Sequoia Platinum 4x4 Gas",54570.5714285714,"Toyota",2018,7
"3752","Sequoia Sr5",12885.0508474576,"Toyota",2006,59
"3753","Sequoia Sr5 2wd",8900,"Toyota",2006,1
"3754","Sequoia Sr5 4wd",4654.16666666667,"Toyota",2002,6
"3755","Sequoia Sr5 4wd Suv",7450,"Toyota",2005,5
"3756","Sequoia Sr5 4x2",7999,"Toyota",2009,1
"3757","Sequoia Sr5 4x4",16997.5,"Toyota",2003,2
"3758","Sequoia Sr5 4x4 One Owner",21988,"Toyota",2008,1
"3759","Sequoia Sr5 5.7l 2wd",10987,"Toyota",2008,2
"3760","Sequoia Sr5. Awesome 3rd",12150,"Toyota",2005,1
"3761","Sequoia Srs",4000,"Toyota",2001,1
"3762","Sequoia Trd Sport",45400,"Toyota",2018,1
"3763","Shadow Vt 600",2400,"Honda",2003,1
"3764","Sienna",12620.2267515924,"Toyota",2000,785
"3765","Sienna 2005",4700,"Toyota",2005,1
"3766","Sienna 5 Door",2950,"Toyota",2000,1
"3767","Sienna 5dr Le",5697,"Toyota",2007,3
"3768","Sienna 5dr Le Fwd 7-Passenger (Natl)",3195,"Toyota",2004,3
"3769","Sienna 7-Passenger",14995,"Toyota",2012,1
"3770","Sienna Awd",16404.1666666667,"Toyota",2010,6
"3771","Sienna Ce",4297.78571428571,"Toyota",2002,14
"3772","Sienna Ce 2007",5150,"Toyota",2007,1
"3773","Sienna Ce 5dr 7-Pass",4995,"Toyota",2005,1
"3774","Sienna Ce 7 Passenger",4874.5,"Toyota",2003,2
"3775","Sienna Handicap",11449.5,"Toyota",2006,4
"3776","Sienna Handicap Van",34900,"Toyota",2016,1
"3777","Sienna L",15031.6666666667,"Toyota",2017,3
"3778","Sienna L Minivan",14489,"Toyota",2015,1
"3779","Sienna L Minivan 4d",18990,"Toyota",2016,1
"3780","Sienna L7",15900,"Toyota",2016,2
"3781","Sienna Le",9458.97058823529,"Toyota",2006,170
"3782","Sienna Le 2011",5995,"Toyota",2011,1
"3783","Sienna Le 7-Passenger",6995,"Toyota",2008,1
"3784","Sienna Le 7-Passenger Aut",14245,"Toyota",2013,2
"3785","Sienna Le 7 Passenger",6187.5,"Toyota",2008,2
"3786","Sienna Le 7 Passenger, L",5750,"Toyota",2005,1
"3787","Sienna Le 8-Passenger",5067.6,"Toyota",2007,5
"3788","Sienna Le 8-Passenger V6-",8495,"Toyota",2011,1
"3789","Sienna Le 8 Passenger",12500,"Toyota",2014,1
"3790","Sienna Le 8 Passengers",21995,"Toyota",2017,1
"3791","Sienna Le All Wheel",27980,"Toyota",2018,3
"3792","Sienna Le Awd",9639.8947368421,"Toyota",2011,19
"3793","Sienna Le Awd 7-",13999,"Toyota",2014,1
"3794","Sienna Le Fwd",8900,"Toyota",2009,1
"3795","Sienna Le Fwd 7 Passenger 5-Speed Automatic",8950,"Toyota",2009,1
"3796","Sienna Le Minivan",3700,"Toyota",2000,1
"3797","Sienna Le Minivan 4d",18587.3043478261,"Toyota",2015,23
"3798","Sienna Le Van",10950,"Toyota",2014,2
"3799","Sienna Le Wheelchair Van",41245,"Toyota",2020,4
"3800","Sienna Limited",8251.32,"Toyota",2013,25
"3801","Sienna Limited Awd",16361,"Toyota",2011,4
"3802","Sienna Limited Minivan 4d",20990,"Toyota",2014,4
"3803","Sienna Limited Premium",22900,"Toyota",2015,1
"3804","Sienna Limited Xle",5499,"Toyota",2006,1
"3805","Sienna Ltd",14915.1666666667,"Toyota",2013,6
"3806","Sienna Minivan",9200,"Toyota",2011,1
"3807","Sienna Se",15572.7142857143,"Toyota",2011,7
"3808","Sienna Se 8-Passenger",15797.8,"Toyota",2011,5
"3809","Sienna Se 8 Passenger",13995,"Toyota",2011,1
"3810","Sienna Se Heated Seats B",351,"Toyota",2015,1
"3811","Sienna Se Minivan 4d",17950,"Toyota",2011,5
"3812","Sienna V6",7995,"Toyota",2012,3
"3813","Sienna Wheelchair Handic",29900,"Toyota",2019,13
"3814","Sienna Xle",17876.4558823529,"Toyota",2010,204
"3815","Sienna Xle 7-Passenger",9995,"Toyota",2009,2
"3816","Sienna Xle 7-Passenger A",24999,"Toyota",2016,1
"3817","Sienna Xle 7 Passenger",8666.33333333333,"Toyota",2008,3
"3818","Sienna Xle 8-Passenger",11086.25,"Toyota",2013,4
"3819","Sienna Xle 8-Passenger / Leather / Dvd / Roof / 1-Owner",13990,"Toyota",2011,1
"3820","Sienna Xle 8-Passenger On",14995,"Toyota",2014,1
"3821","Sienna Xle 8 Passenger",20895,"Toyota",2016,1
"3822","Sienna Xle Awd",15097.8571428571,"Toyota",2007,7
"3823","Sienna Xle Fwd 8-Passenger W/ Sunroof Automatic",25000,"Toyota",2018,1
"3824","Sienna Xle Limited",14975.6896551724,"Toyota",2004,29
"3825","Sienna Xle Limited 7-Pass",9495,"Toyota",2007,1
"3826","Sienna Xle Limited Automatic",9999,"Toyota",2010,1
"3827","Sienna Xle Limited Awd",13640.3333333333,"Toyota",2013,3
"3828","Sienna Xle Limited Handic",16850,"Toyota",2007,1
"3829","Sienna Xle Minivan 4d",15175.8333333333,"Toyota",2013,6
"3830","Sienna Xle Premium",25945,"Toyota",2017,2
"3831","Sienna Xle Wheelchair Ha",34900,"Toyota",2014,3
"3832","Sienna Xle Wheelchair Van",34995,"Toyota",2013,2
"3833","Siennna Le 7 Passenger Nice",16313.8333333333,"Toyota",2012,6
"3834","Sienns Xlt Awd",3400,"Toyota",2004,1
"3835","Silvia",15000,"Nissan",1992,1
"3836","Silvia S14 240sx",10495,"Nissan",1993,1
"3837","Sion",4600,"Toyota",2006,1
"3838","Skyline",10425,"Nissan",1994,3
"3839","Skyline Gtr",18000,"Nissan",1997,1
"3840","Skyline Gts",17000,"Nissan",1994,1
"3841","Skyline Gtst",26000,"Nissan",1989,1
"3842","Skyline R32 Gts-T",17500,"Nissan",1990,1
"3843","Skyline R32 Gts-T Sedan",19000,"Nissan",1990,1
"3844","Skyline R33 Gtr",72900,"Nissan",1995,1
"3845","Soarer",9900,"Toyota",1988,1
"3846","Solar Convertible",1995,"Toyota",2004,2
"3847","Solara",3992.08823529412,"Toyota",2003,34
"3848","Solara 6cyl",2350,"Toyota",2001,2
"3849","Solara Convertible",4850,"Toyota",2004,4
"3850","Solara Convertible 2001",3299,"Toyota",2001,1
"3851","Solara Convertible Sle",7083.75,"Toyota",2008,4
"3852","Solara Convertible Xle",8500,"Toyota",2007,1
"3853","Solara Coupe Sle",2100,"Toyota",2006,1
"3854","Solara Se",3942.85714285714,"Toyota",2007,7
"3855","Solara Se Convertible",6996,"Toyota",2007,3
"3856","Solara Sle",5462.03703703704,"Toyota",2007,27
"3857","Solara Sle Convertible",4950,"Toyota",2006,2
"3858","Solara Sle V-6",5850,"Toyota",2003,2
"3859","Solara Sport",4350,"Toyota",2008,1
"3860","Solora",1650,"Toyota",2003,1
"3861","Speed",7780,"Mazda",2008,1
"3862","Speed 3",7000,"Mazda",2012,1
"3863","Sport 5",3500,"Mazda",2008,1
"3864","Sport Se Awd",18995,"Mitsubishi",2019,1
"3865","Sr",8915,"Nissan",2015,4
"3866","Sr 5 4runner And Quot;One Owner And Quot;",14889,"Toyota",2012,1
"3867","Sr5",8250,"Toyota",1992,2
"3868","Sr5 Longbed 4x4",18000,"Toyota",1986,1
"3869","Standard Pickup",3000,"Toyota",1993,1
"3870","Std Bed Trucks",3499,"Toyota",1987,3
"3871","Sti",29650,"Subaru",2015,3
"3872","Sti Wrx",18000,"Subaru",2006,1
"3873","Sunny Truck",4000,"Nissan",1991,1
"3874","Supra",8428.33333333333,"Toyota",1986,12
"3875","Supra Gr Rwd Gas Coupe",54999,"Toyota",2020,3
"3876","Supra Nonturbo",3500,"Toyota",1986,1
"3877","Supra Turbo",35484.1666666667,"Toyota",2020,6
"3878","Suv Mdx",15500,"Acura",2010,1
"3879","Sv, 2016",12800,"Nissan",2016,1
"3880","Svx",4475,"Subaru",1994,4
"3881","Svx Lsi",6000,"Subaru",1996,1
"3882","T-100",3200,"Toyota",1994,2
"3883","T100",7215,"Toyota",1997,6
"3884","T100 4x4",4814.28571428571,"Toyota",1996,7
"3885","T100 Regcab",2950,"Toyota",1996,2
"3886","T100 Sr5 X-Cab 5-Speed Man. Timingbelt Done Showroomcon",10995,"Toyota",1996,1
"3887","Tacoma",20472.0103896104,"Toyota",2016,1155
"3888","Tacoma - Sr5 - Double",34995,"Toyota",2020,1
"3889","Tacoma *73k Mile",24800,"Toyota",2015,1
"3890","Tacoma 2.7l 4x2",14950,"Toyota",2015,1
"3891","Tacoma 2dr Xtracab 4x4",21977,"Toyota",2003,1
"3892","Tacoma 2wd",37931.6666666667,"Toyota",2019,3
"3893","Tacoma 2wd Sr",29000,"Toyota",2019,1
"3894","Tacoma 2wd Trd Off Road Double Cab 5' Bed V6 At (Natl)",35499,"Toyota",2019,2
"3895","Tacoma 2wd Trd Sport Double Cab 5' Bed V6 At (Natl)",37999,"Toyota",2019,1
"3896","Tacoma 4 Door 2 Wd",8900,"Toyota",2002,1
"3897","Tacoma 4 X 4",14000,"Toyota",2009,1
"3898","Tacoma 4door 4x4",14900,"Toyota",2008,1
"3899","Tacoma 4door 4x4 Lifted",20700,"Toyota",2012,1
"3900","Tacoma 4runner Trail Prem",36288,"Toyota",2016,1
"3901","Tacoma 4wd",33439.375,"Toyota",2019,16
"3902","Tacoma 4wd Double Cab V6 At (Natl)",26999,"Toyota",2015,1
"3903","Tacoma 4wd Trd Off Road Automatic",40000,"Toyota",2020,1
"3904","Tacoma 4wd Trd Sport",14450,"Toyota",2006,2
"3905","Tacoma 4wd Trd Sport Double Cab 5' Bed V6 At (Natl)",37999,"Toyota",2020,2
"3906","Tacoma 4wd W/ Navi Automatic",38000,"Toyota",2019,1
"3907","Tacoma 4x4",15561.6140350877,"Toyota",2014,57
"3908","Tacoma 4x4 1/4 Ton Gas",32399,"Toyota",2014,5
"3909","Tacoma 4x4 2020",46000,"Toyota",2020,1
"3910","Tacoma 4x4 3.5 V6 4wd Trd Off-Road",38995,"Toyota",2019,3
"3911","Tacoma 4x4 Double Cab",9994,"Toyota",2001,2
"3912","Tacoma 4x4 Extended Cab",7661.66666666667,"Toyota",1995,3
"3913","Tacoma 4x4 Motor 4cyl",12900,"Toyota",2004,1
"3914","Tacoma 4x4 Quarter Ton",33832.3333333333,"Toyota",2015,6
"3915","Tacoma 4x4 Trd",12976,"Toyota",2007,1
"3916","Tacoma 4x4 Trd Sport",9000,"Toyota",1999,1
"3917","Tacoma 4x4 Trd V6",11950,"Toyota",2006,1
"3918","Tacoma Access Cab",15222.0769230769,"Toyota",2017,13
"3919","Tacoma Access Cab 4wd V6",15995,"Toyota",2010,2
"3920","Tacoma Access Cab 4x4",15990,"Toyota",2007,1
"3921","Tacoma Access Cab Pickup",27245,"Toyota",2015,2
"3922","Tacoma Access Cab Sr",28224.4827586207,"Toyota",2019,29
"3923","Tacoma Access Cab Sr5",29445.7894736842,"Toyota",2016,19
"3924","Tacoma Access Cab V6 4 X",24000,"Toyota",2014,1
"3925","Tacoma Base",11765.7777777778,"Toyota",2008,9
"3926","Tacoma Base 4x4 4dr Acces",10995,"Toyota",2008,3
"3927","Tacoma Base Cab",7500,"Toyota",2006,1
"3928","Tacoma Basic",9900,"Toyota",2013,1
"3929","Tacoma Crew Cab",19395,"Toyota",2011,1
"3930","Tacoma Crew Cab 4x4",29280,"Toyota",2015,5
"3931","Tacoma Crew Cab Sr-5",22500,"Toyota",2015,1
"3932","Tacoma Dbl Cab Lb 4wd V6",563,"Toyota",2014,1
"3933","Tacoma Dbl Cab Sr5 Lb",33699,"Toyota",2017,1
"3934","Tacoma Double Cab",28006.5647058824,"Toyota",2015,85
"3935","Tacoma Double Cab 4wd V6",17995,"Toyota",2010,3
"3936","Tacoma Double Cab 4x4",25810,"Toyota",2014,6
"3937","Tacoma Double Cab 4x4 V6",383,"Toyota",2013,1
"3938","Tacoma Double Cab Limited",34383.5454545455,"Toyota",2016,11
"3939","Tacoma Double Cab Long Bed V6 Auto 4wd",19950,"Toyota",2011,1
"3940","Tacoma Double Cab Pickup",27463.3333333333,"Toyota",2013,27
"3941","Tacoma Double Cab Prerunn",21215,"Toyota",2014,6
"3942","Tacoma Double Cab Sr",32448.8235294118,"Toyota",2017,68
"3943","Tacoma Double Cab Sr5",31701.5214723926,"Toyota",2018,163
"3944","Tacoma Double Cab Trd",36699.0434782609,"Toyota",2018,299
"3945","Tacoma Double Cab Trd 4x4",14497.5,"Toyota",2008,2
"3946","Tacoma Double Cab Trd Pro",47840,"Toyota",2019,8
"3947","Tacoma Double Cab V6",24300,"Toyota",2015,3
"3948","Tacoma Double Cab V6 4 X",31000,"Toyota",2015,1
"3949","Tacoma Double Cab V6 4x 4",25750,"Toyota",2014,4
"3950","Tacoma Double Cab/Sr/Sr5/",38943,"Toyota",2017,5
"3951","Tacoma Doublecab 4wd",16999,"Toyota",2007,3
"3952","Tacoma Extra Cab 4x4",12950,"Toyota",2003,1
"3953","Tacoma Lifted With Brand",24990,"Toyota",2013,1
"3954","Tacoma Limited",34488,"Toyota",2016,1
"3955","Tacoma Limited 4x4 Gas",39776.7777777778,"Toyota",2017,9
"3956","Tacoma Limited Crew Cab",40998,"Toyota",2017,1
"3957","Tacoma Limited Trd",42999,"Toyota",2019,1
"3958","Tacoma Long Bed",18995,"Toyota",2010,1
"3959","Tacoma Prerunner",12678.0238095238,"Toyota",2001,42
"3960","Tacoma Prerunner Double C",15647.2,"Toyota",2012,5
"3961","Tacoma Prerunner Sr5",14975,"Toyota",2007,6
"3962","Tacoma Prerunner Sr5 Rwd",8500,"Toyota",2003,1
"3963","Tacoma Prerunner V6",17138.6428571429,"Toyota",2014,14
"3964","Tacoma Prerunner V6 4.0 D",13990,"Toyota",2007,1
"3965","Tacoma Prerunner V6 Trd",15000,"Toyota",2005,1
"3966","Tacoma Prerunner Xtracab V6 2wd",11995,"Toyota",2002,2
"3967","Tacoma Reg Cab",15995,"Toyota",2013,1
"3968","Tacoma Regular Cab",7749.5,"Toyota",2010,2
"3969","Tacoma Sr",20820,"Toyota",2016,8
"3970","Tacoma Sr Access Cab 6' Bed I4 4x2 At (Natl)",24984,"Toyota",2017,1
"3971","Tacoma Sr5",17313.9166666667,"Toyota",2008,24
"3972","Tacoma Sr5 4wd",25988,"Toyota",2012,2
"3973","Tacoma Sr5 4x2",10995,"Toyota",2008,1
"3974","Tacoma Sr5 4x4",11248.5,"Toyota",1999,4
"3975","Tacoma Sr5 4x4 1/4 Ton",39999,"Toyota",2017,29
"3976","Tacoma Sr5 Access Cab 4wd",14795,"Toyota",2012,1
"3977","Tacoma Sr5 Double Cab 5' Bed V6 4x2 At (Natl)",32999,"Toyota",2018,1
"3978","Tacoma Sr5 Double Cab Long Bed V6 6at 4wd 6-Speed",31900,"Toyota",2017,1
"3979","Tacoma Sr5 Double Cab Super Long Bed V6 6at 4wd 6-",39999,"Toyota",2018,8
"3980","Tacoma Sr5 Loaded Crew",41980,"Toyota",2017,3
"3981","Tacoma Sr5 Maxed Out",38980,"Toyota",2017,1
"3982","Tacoma Sr5 Prerunner",11461,"Toyota",2008,3
"3983","Tacoma Sr5 Rwd 1/4 Ton",28999,"Toyota",2016,2
"3984","Tacoma Sr5 Trd 4x4",12000,"Toyota",2004,1
"3985","Tacoma Sr5 V6",36828.6666666667,"Toyota",2018,3
"3986","Tacoma Sr5 V6 2dr Sr5 V6",7500,"Toyota",1999,1
"3987","Tacoma Sr5 Xtra Cab",5100,"Toyota",1999,1
"3988","Tacoma Sx",3000,"Toyota",1995,1
"3989","Tacoma Trd",25128.3333333333,"Toyota",2009,6
"3990","Tacoma Trd 4wd",19375,"Toyota",2013,2
"3991","Tacoma Trd 4x4",21839,"Toyota",2013,5
"3992","Tacoma Trd 4x4 3.5 V6",37301.6666666667,"Toyota",2017,3
"3993","Tacoma Trd 4x4 Offroad",18750,"Toyota",2015,2
"3994","Tacoma Trd Crew Cab Shor",27123,"Toyota",2013,8
"3995","Tacoma Trd Off-Road",37321.0666666667,"Toyota",2018,15
"3996","Tacoma Trd Off-Road,Lift Wheels Tires",34995,"Toyota",2016,2
"3997","Tacoma Trd Off Road",30484.1333333333,"Toyota",2017,15
"3998","Tacoma Trd Off Road 4x4",39368.5652173913,"Toyota",2013,46
"3999","Tacoma Trd Off Road Double Cab 5' Bed V6 4x4 At (Natl)",35499,"Toyota",2018,2
"4000","Tacoma Trd Offroad",22480.962962963,"Toyota",2017,27
"4001","Tacoma Trd Pro",46275,"Toyota",2020,5
"4002","Tacoma Trd Pro 4x4 Gas",52999,"Toyota",2019,7
"4003","Tacoma Trd Pro Double Cab 5' Bed V6 4x4 At (Natl)",35991,"Toyota",2018,1
"4004","Tacoma Trd Sport",26598.4761904762,"Toyota",2020,21
"4005","Tacoma Trd Sport 4wd",23450,"Toyota",2010,1
"4006","Tacoma Trd Sport 4x4",27927.25,"Toyota",2005,8
"4007","Tacoma Trd Sport 4x4 4dr",32995,"Toyota",2019,1
"4008","Tacoma Trd Sport 4x4 Gas",40107.6956521739,"Toyota",2019,46
"4009","Tacoma Trd Sport Double Cab 5' Bed V6 4x2 At (Natl)",34999,"Toyota",2018,1
"4010","Tacoma Trd Sport V6",26995,"Toyota",2016,2
"4011","Tacoma Trd V6 Sport Doubl",34995,"Toyota",2016,4
"4012","Tacoma V6",26092.4666666667,"Toyota",2010,30
"4013","Tacoma V6 *73k Mile",24800,"Toyota",2015,1
"4014","Tacoma V6 4dr Double Cab",19997,"Toyota",2001,2
"4015","Tacoma V6 4wd Truck 64k",33988,"Toyota",2015,10
"4016","Tacoma V6 4x4",12750,"Toyota",2010,1
"4017","Tacoma V6 Xtracab",24997,"Toyota",2003,15
"4018","Tacoma V6. Loaded With E",27995,"Toyota",2015,1
"4019","Tacoma Xtracab",7039.6,"Toyota",1999,5
"4020","Tacoma Xtracab Auto",103,"Toyota",1999,1
"4021","Tacoma Xtracab V6 4wd",10995,"Toyota",2001,2
"4022","Tercel",2749.16666666667,"Toyota",1983,6
"4023","Thundra Sr5",4499,"Toyota",2002,1
"4024","Titan",19226.4672489083,"Nissan",2017,229
"4025","Titan 2005",7500,"Nissan",2005,1
"4026","Titan 4wd",26750,"Nissan",2017,1
"4027","Titan 4wd Truck Local Tr",6988,"Nissan",2005,1
"4028","Titan 4x4",24663.3333333333,"Nissan",2018,3
"4029","Titan 4x4 1/2 Ton Gas",23999,"Nissan",2014,3
