"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4070","Philadelphia",4800,2009,"Audi","A4 2.0t Quattro Conv","Fair","4 cylinders","Gas",75000,"Automatic","FWD","Sub-Compact","Convertible","Black","PA",40.251,-74.7627,"Non-JDM"
"4071","Norfolk / Hampton Roads",6499,2006,"Audi","A4","Good","4 cylinders","Gas",117000,"Automatic","FWD","Compact","Convertible","Black","VA",36.8546,-76.2143,"Non-JDM"
"4072","Bakersfield",44995,2018,"Ram","2500",NA,NA,"Diesel",121696,"Automatic","4WD",NA,NA,"White","CA",34.0703,-117.446,"Non-JDM"
"4073","Pittsburgh",7994,2009,"Mercedes-benz","Ml350",NA,"6 cylinders","Gas",193314,"Automatic","4WD",NA,"Suv","White","PA",41.1009,-81.4553,"Non-JDM"
"4074","Tulsa",1200,1993,"Ford","F-150","Fair","6 cylinders","Gas",3e+05,"Automatic","RWD","Full-Size","Pickup","Grey","OK",36.3645,-95.8382,"Non-JDM"
"4075","Central Nj",7000,2011,"Toyota","Corolla.","Excellent",NA,"Gas",74977,"Automatic",NA,NA,NA,"Silver","NJ",40.5826,-74.2785,"JDM"
"4076","Chillicothe",13850,2015,"Subaru","Forester",NA,"4 cylinders","Gas",74816,"Automatic","4WD",NA,"Suv","White","OH",39.906,-83.0829,"JDM"
"4077","Sioux Falls / Se Sd",12995,2011,"Ford","Explorer",NA,NA,"Gas",152000,"Automatic","4WD",NA,NA,NA,"SD",43.5439,-96.7885,"Non-JDM"
"4078","Indianapolis",21590,2019,"Hyundai","Tucson Sport Suv 4d","Good",NA,"Gas",16111,"Other","FWD",NA,"Other",NA,"IN",39.77,-86.14,"Non-JDM"
"4079","Eugene",20990,2006,"Toyota","Tundra",NA,NA,"Gas",135199,"Automatic","4WD",NA,"Pickup","Black","OR",45.6169,-122.693,"JDM"
"4080","Atlanta",3980,1999,"Ford","Explorer",NA,NA,"Gas",62440,"Automatic",NA,NA,"Suv",NA,"GA",34.2043,-84.1376,"Non-JDM"
